Intersection,Lat,Long,FIPS
I-10 and McCarty,29.778122999999997,-95.284054,48201212400
I-10 and San Jacinto,29.767983,-95.356149,48201210100
I-10 and Waco St,29.772890999999998,-95.326537,48201211300
I-10 and Gessner Rd,29.784885,-95.54388399999999,48201522302
I-10 and 610W,29.798637,-95.45101700000001,48201520500
I-10 and Westcott,29.784076000000002,-95.461226,48201520100
I-10 Echo ln,29.784907,-95.521298,48201522301
I-10 and Washington,29.778407,-95.430521,48201510900
I-45 and Quitman,29.779571999999998,-95.367956,48201210400
I-45 and Airline,29.832549,-95.384571,48201530500
I-45 and North St,29.785346,-95.369951,48201510300
I-45 and Parker,29.859274,-95.402849,48201530700
I-45 and Richey,29.998034000000004,-95.42463599999999,48201240701
I-45 and Mount Houston Rd,29.898514000000002,-95.411826,48201221600
I-10 and Milam,29.766988,-95.360916,48201100000
I-45 and Main St,29.790260999999997,-95.37229599999999,48201510300
I-610 and Wayside,29.695121,-95.319397,48201311700
I-610 and Hirsch,29.807876,-95.328435,48201210900
I-610 and Scott St,29.681933,-95.366507,48201313800
I-610 and Old Katy,29.783873999999997,-95.451255,48201510900
I-69 and Beltway 8 N,29.939059000000004,-95.294585,48201232200
I-69 and I-610,29.809559000000004,-95.340036,48201220100
I-69 and Jenson,29.767460999999997,-95.343036,48201211400
I-69 and Will Clayton Pkwy,29.982546999999997,-95.277804,48201241500
I-69 and Greens Rd,29.952467,-95.291827,48201241500
Beltway 8 and Tidwell,29.853208000000002,-95.187487,48201232302
Beltway 8 and Ralston,29.934584,-95.225651,48201250301
Beltway 8 and Hammerly,29.812781,-95.564334,48201540200
