Intersection,Lat,Long
I-10 and McCarty,29.778123,-95.284054
I-10 and San Jacinto,29.767983,-95.356149
I-10 and Waco St,29.772891,-95.326537
I-10 and Gessner Rd,29.784885,-95.543884
I-10 and 610W,29.798637,-95.451017
I-10 and Westcott,29.784076,-95.461226
I-10 Echo ln,29.784907,-95.521298
I-10 and Washington,29.778407,-95.430521
I-45 and Quitman,29.779572,-95.367956
I-45 and Airline,29.832549,-95.384571
I-45 and North St,29.785346,-95.369951
I-45 and Parker,29.859274,-95.402849
I-45 and Richey,29.998034,-95.424636
I-45 and Mount Houston Rd,29.898514,-95.411826
I-10 and Milam,29.766988,-95.360916
I-45 and Main St,29.790261,-95.372296
I-610 and Wayside,29.695121,-95.319397
I-610 and Hirsch,29.807876,-95.328435
I-610 and Scott St,29.681933,-95.366507
I-610 and Old Katy,29.783874,-95.451255
I-69 and Beltway 8 N,29.939059,-95.294585
I-69 and I-610,29.809559,-95.340036
I-69 and Jenson,29.767461,-95.343036
I-69 and Will Clayton Pkwy,29.982547,-95.277804
I-69 and Greens Rd,29.952467,-95.291827
Beltway 8 and Tidwell,29.853208,-95.187487
Beltway 8 and Ralston,29.934584,-95.225651
Beltway 8 and Hammerly,29.812781,-95.564334
